model,hardness_metric,strategy,Dataset,metric,baseline,gain_index,gain_std,n_seeds,win_rate
HardTVAE_CB_curriculum,CB,curriculum,BCWDD,F1 Score,CTGAN,-0.0009549978834827333,0.03526469458421352,10,0.2
HardTVAE_CB_curriculum,CB,curriculum,BCWDD,Precision,CTGAN,0.0007053527420836869,0.030733343761630862,10,0.3
HardTVAE_CB_curriculum,CB,curriculum,BCWDD,Recall,CTGAN,0.0,0.03508771929824564,10,0.2
HardTVAE_CB_curriculum,CB,curriculum,BCWDD,Specificity,CTGAN,-0.01587301587301585,0.040039772302925464,10,0.1
HardTVAE_CB_curriculum,CB,curriculum,HeartCleveland,F1 Score,CTGAN,-0.01586072957025847,0.04546609438767806,10,0.2
HardTVAE_CB_curriculum,CB,curriculum,HeartCleveland,Precision,CTGAN,-0.021119536660283676,0.05423085629418408,10,0.2
HardTVAE_CB_curriculum,CB,curriculum,HeartCleveland,Recall,CTGAN,-0.016129032258064502,0.046249060575498005,10,0.2
HardTVAE_CB_curriculum,CB,curriculum,HeartCleveland,Specificity,CTGAN,-0.01706424505285987,0.04310331112700035,10,0.2
HardTVAE_CB_curriculum,CB,curriculum,Hepatitis,F1 Score,CTGAN,0.11551724137931035,0.09568723805203007,6,0.8333333333333334
HardTVAE_CB_curriculum,CB,curriculum,Hepatitis,Precision,CTGAN,0.15616319444444446,0.1461924212490897,6,0.8333333333333334
HardTVAE_CB_curriculum,CB,curriculum,Hepatitis,Recall,CTGAN,0.09375,0.05229125165837972,6,1.0
HardTVAE_CB_curriculum,CB,curriculum,Hepatitis,Specificity,CTGAN,0.27804487179487175,0.36888470639317966,6,0.8333333333333334
HardTVAE_CB_curriculum,CB,curriculum,Hypothyroid,F1 Score,CTGAN,0.04469697639848687,0.05604605572647512,5,0.6
HardTVAE_CB_curriculum,CB,curriculum,Hypothyroid,Precision,CTGAN,0.05791533531495563,0.07544491184684532,5,0.6
HardTVAE_CB_curriculum,CB,curriculum,Hypothyroid,Recall,CTGAN,0.030158730158730208,0.0357191844572914,5,0.6
HardTVAE_CB_curriculum,CB,curriculum,Hypothyroid,Specificity,CTGAN,0.35029774647401374,0.5239070797783738,5,0.6
HardTVAE_CB_curriculum,CB,curriculum,ILPD,F1 Score,CTGAN,-0.02134146176375249,0.0950861696383879,5,0.2
HardTVAE_CB_curriculum,CB,curriculum,ILPD,Precision,CTGAN,-0.03326649206121333,0.17968405835848011,5,0.4
HardTVAE_CB_curriculum,CB,curriculum,ILPD,Recall,CTGAN,-0.0033898305084745896,0.03674488709945558,5,0.2
HardTVAE_CB_curriculum,CB,curriculum,ILPD,Specificity,CTGAN,-0.029383278735222874,0.15362815409245276,5,0.4
HardTVAE_CB_curriculum,CB,curriculum,NewThyroid1,F1 Score,CTGAN,0.09673881673881675,0.133358107241625,5,0.4
HardTVAE_CB_curriculum,CB,curriculum,NewThyroid1,Precision,CTGAN,0.12495867768595037,0.17158903701318787,5,0.4
HardTVAE_CB_curriculum,CB,curriculum,NewThyroid1,Recall,CTGAN,0.06363636363636363,0.0886072213164451,5,0.4
HardTVAE_CB_curriculum,CB,curriculum,NewThyroid1,Specificity,CTGAN,0.32525252525252524,0.44538468038205886,5,0.4
HardTVAE_CB_curriculum,CB,curriculum,NewThyroid2,F1 Score,CTGAN,0.0,0.0,5,0.0
HardTVAE_CB_curriculum,CB,curriculum,NewThyroid2,Precision,CTGAN,0.0,0.0,5,0.0
HardTVAE_CB_curriculum,CB,curriculum,NewThyroid2,Recall,CTGAN,0.0,0.0,5,0.0
HardTVAE_CB_curriculum,CB,curriculum,NewThyroid2,Specificity,CTGAN,0.0,0.0,5,0.0
HardTVAE_CB_curriculum,CB,curriculum,Pima,F1 Score,CTGAN,-0.0024931730253208604,0.02383603979015228,5,0.6
HardTVAE_CB_curriculum,CB,curriculum,Pima,Precision,CTGAN,-0.01464511163799569,0.037080194129753746,5,0.4
HardTVAE_CB_curriculum,CB,curriculum,Pima,Recall,CTGAN,-0.0051948051948051965,0.03627075336043882,5,0.6
HardTVAE_CB_curriculum,CB,curriculum,Pima,Specificity,CTGAN,-0.013027417027416988,0.07089870188191259,5,0.6
HardTVAE_CB_curriculum,CB,curriculum,Thoracic,F1 Score,CTGAN,-0.03409617505599556,0.054745518935296375,5,0.2
HardTVAE_CB_curriculum,CB,curriculum,Thoracic,Precision,CTGAN,-0.061666340480844115,0.05680419094846302,5,0.0
HardTVAE_CB_curriculum,CB,curriculum,Thoracic,Recall,CTGAN,-0.017021276595744705,0.07431595402797012,5,0.4
HardTVAE_CB_curriculum,CB,curriculum,Thoracic,Specificity,CTGAN,-0.12083586626139815,0.08939770832926663,5,0.0
HardTVAE_CB_curriculum,CB,curriculum,Vertebral,F1 Score,CTGAN,-0.14629390482551588,0.13106111028407244,5,0.2
HardTVAE_CB_curriculum,CB,curriculum,Vertebral,Precision,CTGAN,-0.13188160896797732,0.16490718867343995,5,0.2
HardTVAE_CB_curriculum,CB,curriculum,Vertebral,Recall,CTGAN,-0.06451612903225809,0.09404761120718222,5,0.2
HardTVAE_CB_curriculum,CB,curriculum,Vertebral,Specificity,CTGAN,-0.24024577572964673,0.1756914414980467,5,0.2
HardTVAE_CB_self_paced,CB,self_paced,BCWDD,F1 Score,CTGAN,0.003208187591581091,0.03141617779260227,10,0.3
HardTVAE_CB_self_paced,CB,self_paced,BCWDD,Precision,CTGAN,0.0031910069155147713,0.027877528219208657,10,0.3
HardTVAE_CB_self_paced,CB,self_paced,BCWDD,Recall,CTGAN,0.0035087719298245723,0.031816305283591695,10,0.2
HardTVAE_CB_self_paced,CB,self_paced,BCWDD,Specificity,CTGAN,6.265664160407525e-05,0.03187919553173846,10,0.3
HardTVAE_CB_self_paced,CB,self_paced,HeartCleveland,F1 Score,CTGAN,-0.01539185920026609,0.046055893510842834,10,0.1
HardTVAE_CB_self_paced,CB,self_paced,HeartCleveland,Precision,CTGAN,-0.023559942415629996,0.05084749534101356,10,0.1
HardTVAE_CB_self_paced,CB,self_paced,HeartCleveland,Recall,CTGAN,-0.016129032258064512,0.04624906057549805,10,0.1
HardTVAE_CB_self_paced,CB,self_paced,HeartCleveland,Specificity,CTGAN,-0.013282732447817847,0.04718365246791257,10,0.1
HardTVAE_CB_self_paced,CB,self_paced,Hepatitis,F1 Score,CTGAN,0.05357142857142857,0.06761661347997852,6,0.5
HardTVAE_CB_self_paced,CB,self_paced,Hepatitis,Precision,CTGAN,0.06805555555555558,0.1179610656376321,6,0.5
HardTVAE_CB_self_paced,CB,self_paced,Hepatitis,Recall,CTGAN,0.0625,0.05590169943749474,6,0.6666666666666666
HardTVAE_CB_self_paced,CB,self_paced,Hepatitis,Specificity,CTGAN,0.05715811965811968,0.19723564881003772,6,0.5
HardTVAE_CB_self_paced,CB,self_paced,Hypothyroid,F1 Score,CTGAN,0.060840251321125624,0.05728605470453695,5,0.8
HardTVAE_CB_self_paced,CB,self_paced,Hypothyroid,Precision,CTGAN,0.08152545475574083,0.0759581055881061,5,0.8
HardTVAE_CB_self_paced,CB,self_paced,Hypothyroid,Recall,CTGAN,0.038624338624338714,0.03744110648400379,5,0.8
HardTVAE_CB_self_paced,CB,self_paced,Hypothyroid,Specificity,CTGAN,0.5280587954533217,0.497194641972551,5,0.6
HardTVAE_CB_self_paced,CB,self_paced,ILPD,F1 Score,CTGAN,0.021608790139305657,0.05448123471895785,5,0.6
